OID,Product,Block,Date
#SDSL,UNKNOWN,209.26.18/23,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.20/23,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.22/24,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.189/24,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.212/24,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.234/23,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.236/22,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.241/24,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.251.0/25,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.63/24,
# This is a reassignment block from 209.26/16
#SDSL,UNKNOWN,209.26.68/24,
SDSL,UNKNOWN,63.162.197/24,
SDSL,UNKNOWN,63.162.198/23,
SDSL,UNKNOWN,63.162.200/21,
SDSL,UNKNOWN,63.173.118/23,
SDSL,UNKNOWN,63.173.122/23,
# This is a reassignment block from 64.45.192/18
#SDSL,UNKNOWN,64.45.208/23,
# This is a reassignment block from 64.45.192/18
#SDSL,UNKNOWN,64.45.224/22,
# This is a reassignment block from 64.45.192/18
#SDSL,UNKNOWN,64.45.228/24,
# This is a reassignment block from 64.45.192/18
#SDSL,UNKNOWN,64.45.232/22,
SDSL,UNKNOWN,65.160.208/21,
SDSL,UNKNOWN,65.164.192/21,
SDSL,UNKNOWN,65.164.200/21,
SDSL,UNKNOWN,65.173.64/20,
SDSL,UNKNOWN,65.173.80/20,
SDSL,UNKNOWN,65.174.160/22,
SMAT,UNKNOWN,205.160.192/21,
SMAT,UNKNOWN,205.244.112/20,
SMAT,UNKNOWN,205.244.200/21,
SMAT,UNKNOWN,205.245.104/22,
SMAT,UNKNOWN,205.245.96/21,
SMAT,UNKNOWN,205.247.224/19,
SMAT,UNKNOWN,206.105.200/21,
SMAT,UNKNOWN,206.105.74/23,
SMAT,UNKNOWN,206.107.96/19,
SMAT,UNKNOWN,206.159.172/22,
SMAT,UNKNOWN,206.228.240/20,
SMAT,UNKNOWN,207.14.216/22,
SMAT,UNKNOWN,207.14.224/20,
SMAT,UNKNOWN,207.42.148/22,
SMAT,UNKNOWN,207.42.160/20,
SMAT,UNKNOWN,208.1.217/24,
SMAT,UNKNOWN,208.1.224/24,
SMAT,UNKNOWN,208.1.232/24,
SMAT,UNKNOWN,208.11.160/19,
SMAT,UNKNOWN,208.25.16/21,
SMAT,UNKNOWN,208.25.240/20,
SMAT,UNKNOWN,208.27.0/19,
SMAT,UNKNOWN,208.27.112/20,
SMAT,UNKNOWN,208.34.224/20,
SMAT,UNKNOWN,208.6.32/19,
SMAT,UNKNOWN,208.6.80/20,
SMAT,UNKNOWN,208.7.208/20,
SMAT,UNKNOWN,63.164.32/20,
SMAT,UNKNOWN,63.165.144/20,
SMAT,UNKNOWN,63.166.88/22,
SMAT,UNKNOWN,65.162.112/20,
SMAT,UNKNOWN,66.247.208/22,
# This is a reassignment block from 205.244.200/21
#SNBOC,UNKNOWN,205.244.200/23,
# This is a reassignment block from 205.244.200/21
#SNBOC,UNKNOWN,205.244.202/24,
