AS209	209
NET-208-47-12-0-1	208.47.12.0/24 (Reassigned)
NET-208-47-170-0-1	208.47.170.0/24 (Reassigned)
NET-208-47-200-0-1	208.47.200.0/24 (Reassigned)
NET-208-47-246-0-1	208.47.246.0/24 (Reassigned)
NET-208-47-31-0-1	208.47.31.0/24 (Reassigned)
NET-208-47-32-0-1	208.47.32.0/24 (Reassigned)
NET-208-47-34-0-1	208.47.34.0/24 (Reassigned)
NET-208-47-35-0-1	208.47.35.0/24 (Reassigned)
NET-208-47-40-0-1	208.47.40.0/24 (Reassigned)
NET-208-47-46-0-1	208.47.46.0/24 (Reassigned)
NET-209-181-19-0-1	209.181.19.0/24 (Reassigned)
NET-209-181-200-0-1	209.181.200.0/24 (Reassigned)
NET-209-201-0-0-1	209.201.0.0/17 (Direct Allocation)
NET-209-201-73-0-1	209.201.73.0/24 (Reassigned)
NET-209-211-0-0-1	209.211.0.0/16 (Direct Allocation)
NET-209-211-168-0-1	209.211.168.0/24 (Reassigned)
NET-209-211-176-0-1	209.211.176.0/24 (Reassigned)
NET-209-211-180-0-1	209.211.180.0/24 (Reassigned)
NET-209-211-182-0-1	209.211.182.0/24 (Reassigned)
NET-209-211-203-0-1	209.211.203.0/24 (Reassigned)
NET-209-211-221-0-1	209.211.221.0/24 (Reassigned)
NET-209-3-0-0-1	209.3.0.0/16 (Direct Allocation)
NET-209-3-114-0-1	209.3.114.0/24 (Reassigned)
NET-209-3-4-0-1	209.3.4.0/24 (Reassigned)
NET-209-45-128-0-1	209.45.128.0/17 (Direct Allocation)
NET-209-45-183-0-1	209.45.183.0/24 (Reassigned)
NET-209-45-202-0-1	209.45.202.0/24 (Reassigned)
NET-209-45-245-0-1	209.45.245.0/24 (Reassigned)
NET-216-111-0-0-1	216.111.0.0/16 (Direct Allocation)
NET-216-111-247-0-1	216.111.247.0/24 (Reassigned)
NET-216-111-90-0-1	216.111.90.0/24 (Reassigned)
NET-216-160-196-0-1	216.160.196.0/24 (Reassigned)
NET-216-161-105-0-1	216.161.105.0/24 (Reassigned)
NET-216-161-107-0-1	216.161.107.0/24 (Reassigned)
NET-216-161-108-0-1	216.161.108.0/24 (Reassigned)
NET-216-206-0-0-1	216.206.0.0/15 (Direct Allocation)
NET-216-206-123-0-1	216.206.123.0/24 (Reassigned)
NET-216-206-168-0-1	216.206.168.0/24 (Reassigned)
NET-216-206-235-0-1	216.206.235.0/24 (Reassigned)
NET-216-206-94-0-1	216.206.94.0/24 (Reassigned)
